path,filename,type,extension,size_bytes,size_human,modified_date,pm_relevance,classification,metadata,notes
"Tem-WP1369-DefectTrackingMatrix-v02 - PHM.xlsx","Tem-WP1369-DefectTrackingMatrix-v02 - PHM.xlsx","Excel Spreadsheet","xlsx","77867","76K","May 10 10:01:31 2013","High","To Be Classified","",""
"SustainableEVMv2a.vsd","SustainableEVMv2a.vsd","Visio Diagram","vsd","982528","960K","May 10 09:21:02 2013","Review","To Be Classified","",""
"SustainableEVMv2a.pdf","SustainableEVMv2a.pdf","PDF Document","pdf","325902","318K","May 10 09:20:54 2013","Review","To Be Classified","",""
"SI Project Estimator Prototype  User Guide V2.pptx","SI Project Estimator Prototype  User Guide V2.pptx","PowerPoint Presentation","pptx","2020880","1.9M","May 10 10:27:02 2013","High","To Be Classified","",""
"SI BTA School - Use Case Intro KX.pptx","SI BTA School - Use Case Intro KX.pptx","PowerPoint Presentation","pptx","154002","150K","May 10 10:23:24 2013","Review","To Be Classified","",""
"SEVM_Overview_102908.pptx","SEVM_Overview_102908.pptx","PowerPoint Presentation","pptx","1098982","1.0M","May 10 09:21:09 2013","Review","To Be Classified","",""
"SCO Customer and Vendor Management Deliverable Process Customer Complaints and Feedback.pptx","SCO Customer and Vendor Management Deliverable Process Customer Complaints and Feedback.pptx","PowerPoint Presentation","pptx","136226","133K","May 10 10:02:20 2013","High","To Be Classified","",""
"running_lean_7.pdf","running_lean_7.pdf","PDF Document","pdf","6293056","6.0M","Feb 22 15:22:42 2012","Low","To Be Classified","",""
"webMethods Cookbook.pdf","webMethods Cookbook.pdf","PDF Document","pdf","1227231","1.2M","May 10 12:17:17 2013","Low","To Be Classified","",""
"value analysis bus_case_exl_c.xls","value analysis bus_case_exl_c.xls","Excel Spreadsheet","xls","1380864","1.3M","May 10 09:21:58 2013","Medium","To Be Classified","",""
"Release 1 Work Effort Estimation.xlsx","Release 1 Work Effort Estimation.xlsx","Excel Spreadsheet","xlsx","73854","72K","May 10 12:30:46 2013","High","To Be Classified","",""
"REEVM.vsd","REEVM.vsd","Visio Diagram","vsd","355840","348K","May 10 12:31:11 2013","Review","To Be Classified","",""
"REEVM.ppt","REEVM.ppt","PowerPoint Presentation","ppt","193536","189K","May 10 12:31:02 2013","Review","To Be Classified","",""
"QA Environment Set-Up.docx","QA Environment Set-Up.docx","Word Document","docx","56640","55K","May 10 10:22:41 2013","Review","To Be Classified","",""
"Proposal Template Value Based Selling Dec 2012.pptx","Proposal Template Value Based Selling Dec 2012.pptx","PowerPoint Presentation","pptx","316206","309K","May  9 07:40:30 2013","High","To Be Classified","",""
"Playbook 5 0_PPD Final.ppt","Playbook 5 0_PPD Final.ppt","PowerPoint Presentation","ppt","4211200","4.0M","May 10 12:25:03 2013","Review","To Be Classified","",""
"PFMgmt_Toolkit_c.ppt","PFMgmt_Toolkit_c.ppt","PowerPoint Presentation","ppt","3606016","3.4M","May 10 10:08:01 2013","High","To Be Classified","",""
"PEPS_Ramp_Up_Guide.pptx","PEPS_Ramp_Up_Guide.pptx","PowerPoint Presentation","pptx","1140996","1.1M","May 10 12:33:05 2013","High","To Be Classified","",""
"PEPS_3.2_Product_Scope_Template.xlsx","PEPS_3.2_Product_Scope_Template.xlsx","Excel Spreadsheet","xlsx","33684","33K","May 10 12:33:23 2013","High","To Be Classified","",""
"PEPS_3.2_Method_Scope_Template.xlsx","PEPS_3.2_Method_Scope_Template.xlsx","Excel Spreadsheet","xlsx","59336","58K","May 10 12:33:31 2013","High","To Be Classified","",""
"PEPS_3.2_FTE_Scope_Template.xlsx","PEPS_3.2_FTE_Scope_Template.xlsx","Excel Spreadsheet","xlsx","12685","12K","May 10 12:33:35 2013","High","To Be Classified","",""
"JobAid-HelpDesk Ticket SLA Metrics.xlsx","JobAid-HelpDesk Ticket SLA Metrics.xlsx","Excel Spreadsheet","xlsx","74694","73K","May 10 10:01:11 2013","High","To Be Classified","",""
"In Cloud We Trust Whitepaper Final Review.docx","In Cloud We Trust Whitepaper Final Review.docx","Word Document","docx","230955","226K","May 10 10:02:55 2013","Medium","To Be Classified","",""
"HCP R2.1 Master Project Plan_c.mpp","HCP R2.1 Master Project Plan_c.mpp","Microsoft Project","mpp","2155520","2.1M","Jun 10 18:16:26 2011","High","To Be Classified","",""
"Functional_Requirements_Library_Template.xlsx","Functional_Requirements_Library_Template.xlsx","Excel Spreadsheet","xlsx","282058","275K","May 10 12:33:49 2013","High","To Be Classified","",""
"FinancialTransformation  Diagnostic Tool V1.0.zip","FinancialTransformation  Diagnostic Tool V1.0.zip","Archive","zip","1988655","1.9M","May 10 10:08:28 2013","Review","To Be Classified","",""
"FCoE 6 Operate SAP HANA.pptx","FCoE 6 Operate SAP HANA.pptx","PowerPoint Presentation","pptx","938982","917K","May 10 10:04:37 2013","Review","To Be Classified","",""
"EVMforGrowthCompanies.vsd","EVMforGrowthCompanies.vsd","Visio Diagram","vsd","1553408","1.5M","May 10 09:22:41 2013","Review","To Be Classified","",""
"EVMforGrowthCompanies.pdf","EVMforGrowthCompanies.pdf","PDF Document","pdf","382823","374K","May 10 09:22:25 2013","Review","To Be Classified","",""
"EVM_KPI_Template.xls","EVM_KPI_Template.xls","Excel Spreadsheet","xls","139264","136K","May 10 10:08:17 2013","High","To Be Classified","",""
"ECREVM.vsd","ECREVM.vsd","Visio Diagram","vsd","355840","348K","May 10 09:23:20 2013","Review","To Be Classified","",""
"ECREVM.ppt","ECREVM.ppt","PowerPoint Presentation","ppt","193536","189K","May 10 09:23:27 2013","Review","To Be Classified","",""
"ECREVM.pdf","ECREVM.pdf","PDF Document","pdf","243181","237K","May 10 09:23:33 2013","Review","To Be Classified","",""
"CMT_Project Startup Guidebook_v11_05 Nov.docx","CMT_Project Startup Guidebook_v11_05 Nov.docx","Word Document","docx","2754701","2.6M","May 10 10:00:19 2013","High","To Be Classified","",""
"closing_checklist_c.ppt","closing_checklist_c.ppt","PowerPoint Presentation","ppt","492032","481K","May 10 09:12:36 2013","High","To Be Classified","",""
"Cleansing Conversion Related Metrics - Data Collection Worksheet.xlsx","Cleansing Conversion Related Metrics - Data Collection Worksheet.xlsx","Excel Spreadsheet","xlsx","19251","19K","May 10 10:01:21 2013","High","To Be Classified","",""
"CashGenValueMapv2.vsd","CashGenValueMapv2.vsd","Visio Diagram","vsd","1069056","1.0M","May 10 09:20:20 2013","Review","To Be Classified","",""
"CashGenValueMapv2.pdf","CashGenValueMapv2.pdf","PDF Document","pdf","354093","346K","May 10 09:20:35 2013","Review","To Be Classified","",""
"Business_Case_C.xls","Business_Case_C.xls","Excel Spreadsheet","xls","2676224","2.6M","May 10 09:21:49 2013","High","To Be Classified","",""
"Build management with Maven.pptx","Build management with Maven.pptx","PowerPoint Presentation","pptx","1272938","1.2M","May 10 10:23:53 2013","Medium","To Be Classified","",""
"AMS CP4 Whitepaper on Testing Services final.docx","AMS CP4 Whitepaper on Testing Services final.docx","Word Document","docx","216172","211K","May 10 10:12:16 2013","High","To Be Classified","",""
"Accounting Basics.doc","Accounting Basics.doc","Word Document","doc","214016","209K","Jun 27 17:24:59 2008","Low","To Be Classified","",""
"10_Detailed Process Flows.vsd","10_Detailed Process Flows.vsd","Visio Diagram","vsd","335872","328K","May 10 10:21:49 2013","High","To Be Classified","",""
"7-succeeding.pdf","7-succeeding.pdf","PDF Document","pdf","223383","218K","Jan 29 11:19:46 2011","Review","To Be Classified","",""
"6-interviewing.pdf","6-interviewing.pdf","PDF Document","pdf","241379","236K","Jan 29 11:19:10 2011","Low","To Be Classified","",""
"06_Release Dashboard.pptx","06_Release Dashboard.pptx","PowerPoint Presentation","pptx","78600","77K","May 10 10:22:03 2013","High","To Be Classified","",""
"06 Requirements Matrix.xls","06 Requirements Matrix.xls","Excel Spreadsheet","xls","11608","11K","May 10 12:34:22 2013","High","To Be Classified","",""
"5-executingjobsearch.pdf","5-executingjobsearch.pdf","PDF Document","pdf","245127","239K","Jan 29 11:18:35 2011","Review","To Be Classified","",""
"5-3.6 Metric Input Data Gathering Worksheet.xlsx","5-3.6 Metric Input Data Gathering Worksheet.xlsx","Excel Spreadsheet","xlsx","33909","33K","May 10 12:32:00 2013","High","To Be Classified","",""
"05_Testing and Release Checklist.xlsx","05_Testing and Release Checklist.xlsx","Excel Spreadsheet","xlsx","12770","12K","May 10 10:13:38 2013","High","To Be Classified","",""
"4a-3.6 Package Items Data Gathering Worksheet.xlsm","4a-3.6 Package Items Data Gathering Worksheet.xlsm","Excel Spreadsheet","xlsm","679416","663K","May 10 12:32:10 2013","Review","To Be Classified","",""
"4-networking.pdf","4-networking.pdf","PDF Document","pdf","222523","217K","Jan 29 11:17:31 2011","Low","To Be Classified","",""
"04_Enterprise Release Plan.pptx","04_Enterprise Release Plan.pptx","PowerPoint Presentation","pptx","126501","124K","May 10 10:22:12 2013","High","To Be Classified","",""
"04_Code Review Checklist.xlsx","04_Code Review Checklist.xlsx","Excel Spreadsheet","xlsx","29817","29K","May 10 10:13:31 2013","High","To Be Classified","",""
"3-postioningyourself.pdf","3-postioningyourself.pdf","PDF Document","pdf","304963","298K","Jan 29 11:16:47 2011","Review","To Be Classified","",""
"03_Release Planning Template.xlsx","03_Release Planning Template.xlsx","Excel Spreadsheet","xlsx","134375","131K","May 10 10:22:18 2013","High","To Be Classified","",""
"03_Proposal Template SAP Nov 2012_c.pptx","03_Proposal Template SAP Nov 2012_c.pptx","PowerPoint Presentation","pptx","2012865","1.9M","May  9 07:41:47 2013","High","To Be Classified","",""
"03_Integrated Work Plan Process_c.ppt","03_Integrated Work Plan Process_c.ppt","PowerPoint Presentation","ppt","624196","610K","Jun 10 18:20:42 2011","High","To Be Classified","",""
"03_Development Checklist.xlsx","03_Development Checklist.xlsx","Excel Spreadsheet","xlsx","13184","13K","May 10 10:13:48 2013","High","To Be Classified","",""
"03_DB2-SQL Server Estimation Model.xlsx","03_DB2-SQL Server Estimation Model.xlsx","Excel Spreadsheet","xlsx","35852","35K","May 10 10:20:49 2013","High","To Be Classified","",""
"2-understandingthemarketplace.pdf","2-understandingthemarketplace.pdf","PDF Document","pdf","197706","193K","Jan 29 11:15:51 2011","Review","To Be Classified","",""
"2-3.6 Method Scope Data Gathering Worksheet.xlsm","2-3.6 Method Scope Data Gathering Worksheet.xlsm","Excel Spreadsheet","xlsm","351852","344K","May 10 12:32:17 2013","High","To Be Classified","",""
"02_Test Script Checklist.xlsx","02_Test Script Checklist.xlsx","Excel Spreadsheet","xlsx","13433","13K","May 10 10:14:18 2013","High","To Be Classified","",""
"02_Test Data Management.xlsx","02_Test Data Management.xlsx","Excel Spreadsheet","xlsx","21689","21K","May 10 10:17:55 2013","High","To Be Classified","",""
"02_Technical Specification Checklist.xlsx","02_Technical Specification Checklist.xlsx","Excel Spreadsheet","xlsx","13273","13K","May 10 10:13:54 2013","High","To Be Classified","",""
"02_Release Planning Cheat Sheet.pptx","02_Release Planning Cheat Sheet.pptx","PowerPoint Presentation","pptx","76476","75K","May 10 10:22:23 2013","High","To Be Classified","",""
"02_Proposal Template  - Oracle  - Dec 2012_C.pptx","02_Proposal Template  - Oracle  - Dec 2012_C.pptx","PowerPoint Presentation","pptx","9487518","9.0M","May  9 07:41:42 2013","High","To Be Classified","",""
"02_Biopharmaceutical_Industry.pdf","02_Biopharmaceutical_Industry.pdf","PDF Document","pdf","15026211","14M","Nov 20 09:57:04 2011","Low","To Be Classified","",""
"1-selfassessment.pdf","1-selfassessment.pdf","PDF Document","pdf","210351","205K","Jan 29 11:14:31 2011","Medium","To Be Classified","",""
"1-3.6 Initial Project set up Questionnaire PEPS 2.3.xlsx","1-3.6 Initial Project set up Questionnaire PEPS 2.3.xlsx","Excel Spreadsheet","xlsx","328407","321K","May 10 12:32:25 2013","High","To Be Classified","",""
"01_Test Data Management_c.pptx","01_Test Data Management_c.pptx","PowerPoint Presentation","pptx","1373469","1.3M","May 10 10:18:01 2013","High","To Be Classified","",""
"01_Proposal Template TSA ITSM - Dec 2012.pptx","01_Proposal Template TSA ITSM - Dec 2012.pptx","PowerPoint Presentation","pptx","1717667","1.6M","May  9 07:42:21 2013","High","To Be Classified","",""
